# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on  () by bips on Wed Dec  1 19:47:21 2021
# L       =     10 (Lattice linear dimension, N=L*L)
# seed    =           5342
# nsweeps =        10000 (No. of sweeps)
# beta    =      0.44000000000000000    
# start   =    1 (0 cold, 1 hot, 2 old config)
# RANLUX LUXURY LEVEL SET BY RLUXGO : 3     P= 223
# RANLUX INITIALIZED BY RLUXGO FROM SEEDS        5342           0           0
        -144          74
        -132          76
        -112          68
        -108          72
        -116          74
        -124          76
        -140          82
        -116          74
        -108          66
        -132          68
        -120          60
        -116          64
        -112          76
        -128          78
        -140          82
        -108          68
        -128          58
        -128          56
        -120          44
        -140          48
        -136          50
        -144          54
        -124          42
        -140          60
        -144          68
        -144          72
        -112          70
        -144          80
        -132          74
        -140          80
        -140          76
        -152          82
        -152          76
        -148          78
        -184          94
        -184          96
        -184          96
        -184          96
        -180          92
        -136          82
        -128          72
        -144          84
        -160          88
        -148          82
        -160          88
        -148          80
        -148          82
        -176          94
        -172          92
        -156          88
        -156          86
        -156          84
        -168          90
        -132          82
        -160          86
        -172          92
        -176          92
        -180          94
        -172          92
        -160          86
        -164          88
        -184          96
        -168          90
        -172          92
        -172          92
        -160          86
        -152          80
        -144          82
        -188          96
        -192          98
        -192          98
        -172          92
        -180          94
        -148          80
        -148          80
        -148          76
        -136          80
        -136          80
        -152          84
        -152          86
        -168          92
        -180          94
        -188          96
        -168          90
        -136          80
        -132          78
        -116          68
        -120          72
        -144          80
        -152          84
        -148          84
        -156          86
        -160          86
        -148          84
        -176          94
        -152          86
        -184          96
        -176          92
        -180          90
        -180          94
        -164          88
        -164          88
        -176          94
        -168          90
        -200         100
        -192          98
        -176          94
        -176          94
        -184          96
        -156          86
        -148          76
        -148          84
        -136          78
        -164          90
        -168          92
        -148          82
        -164          88
        -168          90
        -144          80
        -172          92
        -148          86
        -176          94
        -192          98
        -176          94
        -164          90
        -140          82
        -172          92
        -160          90
        -172          90
        -148          86
        -144          84
        -160          82
        -152          82
        -148          80
        -144          82
        -136          80
        -156          82
        -148          84
        -172          90
        -184          96
        -148          82
        -160          84
        -172          92
        -188          96
        -164          88
        -184          94
        -172          90
        -176          94
        -172          92
        -176          94
        -156          88
        -172          92
        -184          96
        -188          96
        -176          92
        -168          92
        -168          90
        -156          80
        -160          70
        -164          84
        -144          82
        -152          76
        -156          78
        -128          70
        -136          80
        -168          90
        -160          88
        -140          84
        -176          94
        -176          94
        -144          84
        -168          92
        -168          90
        -164          90
        -184          96
        -160          88
        -164          90
        -144          82
        -172          92
        -164          90
        -160          86
        -176          90
        -176          94
        -200         100
        -172          92
        -164          90
        -176          94
        -152          84
        -164          90
        -152          86
        -164          88
        -176          92
        -156          86
        -172          92
        -156          88
        -160          88
        -160          86
        -128          76
        -148          86
        -160          86
        -156          86
        -160          86
        -148          78
        -144          80
        -176          94
        -176          94
        -192          98
        -200         100
        -176          92
        -172          90
        -148          78
        -132          60
        -120          52
        -148          64
        -128          62
        -128          60
        -144          68
        -152          74
        -140          76
        -152          80
        -156          80
        -120          74
        -128          78
        -108          72
        -108          72
        -132          76
        -136          80
        -148          72
        -104          52
        -108          46
        -120          46
        -112          38
        -132          48
        -120          70
        -112          60
        -120          70
        -152          84
        -156          88
        -144          82
        -124          74
        -112          62
        -120          66
        -156          86
        -144          80
        -140          80
        -140          74
        -108          62
        -128          68
        -116          54
        -120          58
        -140          76
        -156          84
        -144          78
        -132          66
        -148          74
        -156          78
        -156          84
        -168          88
        -168          88
        -152          86
        -136          80
        -144          82
        -140          80
        -148          80
        -172          86
        -160          86
        -164          88
        -160          88
        -140          82
        -188          96
        -192          98
        -176          92
        -192          98
        -184          96
        -184          96
        -176          94
        -168          92
        -156          80
        -160          82
        -152          80
        -120          66
        -152          86
        -148          82
        -156          84
        -156          88
        -144          82
        -156          86
        -160          86
        -172          92
        -176          94
        -184          96
        -184          96
        -160          88
        -164          90
        -176          92
        -192          98
        -176          92
        -180          94
        -172          92
        -180          94
        -172          90
        -136          78
        -120          68
        -124          70
        -140          68
        -128          68
        -136          80
        -148          82
        -176          92
        -192          98
        -192          98
        -184          96
        -160          88
        -176          94
        -200         100
        -188          96
        -176          94
        -144          82
